"date" "athletes" "maleAthletes" "femaleAthletes" "maleSpeedMean" "maleSpeedSD" "femaleSpeedMean" "femaleSpeedSD"
"218" "2016-10-01" 196 105 85 3.27032944375386 0.576054475835185 2.79686033630662 0.445977858964917
"217" "2016-09-24" 303 180 117 3.31997482124725 0.596866347781457 2.83749326736454 0.509629938990364
"216" "2016-09-17" 269 163 98 3.35885662899352 0.639071104970071 2.81472448726209 0.551523193304907
"215" "2016-09-10" 214 118 90 3.36072189018082 0.595487449841882 2.88065624560229 0.457831404652512
"214" "2016-09-03" 232 131 97 3.29714693734719 0.54538258322504 2.9117296096003 0.454288262976207
"213" "2016-08-27" 289 161 118 3.39865044673256 0.572117855790678 2.95313044794547 0.501163854143805
"212" "2016-08-20" 218 121 87 3.34673672287787 0.556370252701414 3.01809370169868 0.464583193136284
"211" "2016-08-13" 228 124 88 3.46837586232029 0.576255645212279 2.9474836590431 0.45587236156696
"210" "2016-08-06" 254 144 98 3.46204195112835 0.575184880032207 2.92984027908342 0.524814528018209
"209" "2016-07-30" 250 135 111 3.41068644504109 0.590794085748322 2.86940511286961 0.50545670895976
"208" "2016-07-23" 215 124 82 3.36745328547479 0.5900558786859 2.81593147063793 0.425259843463142
"207" "2016-07-16" 271 135 121 3.34992029763911 0.61253921869056 2.83116319360471 0.512998534607454
"206" "2016-07-09" 354 213 131 3.47489139156393 0.652746446671673 2.96646667322079 0.501265904781718
"205" "2016-07-02" 234 137 91 3.40039532537393 0.571501250728242 2.93133275107545 0.506566855709863
"204" "2016-06-25" 243 149 82 3.41285888904177 0.571554996773589 2.83986467113472 0.430738757511963
"203" "2016-06-18" NA NA NA NA NA NA NA
"202" "2016-06-11" NA NA NA NA NA NA NA
"201" "2016-06-04" NA NA NA NA NA NA NA
"200" "2016-05-21" NA NA NA NA NA NA NA
"199" "2016-05-14" 314 165 136 3.38318281465746 0.621181613944337 2.78355853823693 0.55360937268179
"198" "2016-05-07" 285 160 114 3.49133916955884 0.653847021106086 2.84437902236614 0.533948207319716
