"date" "athletes" "maleAthletes" "femaleAthletes" "maleSpeedMean" "maleSpeedSD" "femaleSpeedMean" "femaleSpeedSD" "extraTime"
"300" "2015-09-05" NA NA NA NA NA NA NA NA
"299" "2015-08-29" NA NA NA NA NA NA NA NA
"298" "2015-08-22" NA NA NA NA NA NA NA NA
"297" "2015-08-15" NA NA NA NA NA NA NA NA
"296" "2015-08-08" NA NA NA NA NA NA NA NA
"295" "2015-08-01" NA NA NA NA NA NA NA NA
"294" "2015-07-25" NA NA NA NA NA NA NA NA
"293" "2015-07-18" NA NA NA NA NA NA NA NA
"292" "2015-07-11" NA NA NA NA NA NA NA NA
"291" "2015-07-04" NA NA NA NA NA NA NA NA
"290" "2015-06-27" NA NA NA NA NA NA NA NA
"289" "2015-06-20" NA NA NA NA NA NA NA NA
"288" "2015-06-13" NA NA NA NA NA NA NA NA
"287" "2015-06-06" NA NA NA NA NA NA NA NA
"286" "2015-05-30" NA NA NA NA NA NA NA NA
"285" "2015-05-23" NA NA NA NA NA NA NA NA
"284" "2015-05-16" NA NA NA NA NA NA NA NA
"283" "2015-05-09" NA NA NA NA NA NA NA NA
"282" "2015-05-02" NA NA NA NA NA NA NA NA
"281" "2015-04-25" NA NA NA NA NA NA NA NA
"280" "2015-04-18" NA NA NA NA NA NA NA NA
"279" "2015-04-11" NA NA NA NA NA NA NA NA
"278" "2015-04-04" NA NA NA NA NA NA NA NA
"277" "2015-03-28" NA NA NA NA NA NA NA NA
"276" "2015-03-21" NA NA NA NA NA NA NA NA
"275" "2015-03-14" NA NA NA NA NA NA NA NA
"274" "2015-03-07" NA NA NA NA NA NA NA NA
"273" "2015-02-28" NA NA NA NA NA NA NA NA
"272" "2015-02-21" NA NA NA NA NA NA NA NA
"271" "2015-02-14" NA NA NA NA NA NA NA NA
"270" "2015-02-07" NA NA NA NA NA NA NA NA
"269" "2015-01-31" NA NA NA NA NA NA NA NA
"268" "2015-01-17" NA NA NA NA NA NA NA NA
"267" "2015-01-10" NA NA NA NA NA NA NA NA
"266" "2015-01-03" NA NA NA NA NA NA NA NA
"265" "2015-01-01" NA NA NA NA NA NA NA NA
"264" "2014-12-27" NA NA NA NA NA NA NA NA
"263" "2014-12-20" NA NA NA NA NA NA NA NA
"262" "2014-12-13" NA NA NA NA NA NA NA NA
"261" "2014-12-06" NA NA NA NA NA NA NA NA
"260" "2014-11-29" NA NA NA NA NA NA NA NA
"259" "2014-11-22" NA NA NA NA NA NA NA NA
"258" "2014-11-15" NA NA NA NA NA NA NA NA
"257" "2014-11-08" NA NA NA NA NA NA NA NA
