"pos" "athleteNumber" "time" "timeInSeconds" "ageCat" "ageGrade" "gender" "genderPos" "note" "totalRuns"
"92" 92 172656 "23:25" 1405 "VM45-49" 61 "M" 80 "PB stays at 00:22:06" 311
"93" 93 720033 "23:28" 1408 "SM25-29" 55.04 "M" 81 "First Timer!" 142
"94" 94 203972 "23:32" 1412 "VM45-49" 61.69 "M" 82 "PB stays at 00:22:26" 27
"95" 95 NA NA NA NA NA NA NA NA NA
"96" 96 3054016 "23:38" 1418 "VM50-54" 62.91 "M" 84 "PB stays at 00:21:57" 32
"97" 97 3461717 "23:41" 1421 "SM25-29" 54.47 "M" 85 "First Timer!" 41
"98" 98 1385407 "23:44" 1424 "SW18-19" 62.57 "F" 13 "PB stays at 00:22:05" 18
"99" 99 1048649 "23:45" 1425 "SM18-19" 55.51 "M" 86 "New PB!" 43
"100" 100 3990984 "23:46" 1426 "JW11-14" 67.18 "F" 14 "First Timer!" 4
"101" 101 3991533 "23:47" 1427 "JM11-14" 62.51 "M" 87 "First Timer!" 1
"102" 102 57330 "23:47" 1427 "VM35-39" 55.43 "M" 88 "First Timer!" 8
"103" 103 3283091 "23:48" 1428 "VM40-44" 58.19 "M" 89 "New PB!" 10
"104" 104 3763973 "23:51" 1431 "VM40-44" 58.07 "M" 90 "First Timer!" 4
"105" 105 3838542 "23:54" 1434 "VM45-49" 60.74 "M" 91 "New PB!" 36
"106" 106 2704949 "24:06" 1446 "SM18-19" 55.33 "M" 92 "PB stays at 00:21:32" 26
"107" 107 3885213 "24:07" 1447 "SM30-34" 53.9 "M" 93 "New PB!" 3
"108" 108 774222 "24:08" 1448 "VM50-54" 63.12 "M" 94 "PB stays at 00:23:12" 135
"109" 109 1736291 "24:09" 1449 "SM30-34" 54.04 "M" 95 "PB stays at 00:21:42" 91
"110" 110 851004 "24:11" 1451 "SW18-19" 61.89 "F" 15 "First Timer!" 15
"111" 111 3884209 "24:12" 1452 "SM18-19" 54.48 "M" 96 "New PB!" 13
"112" 112 3530084 "24:18" 1458 "SM18-19" 54.25 "M" 97 "New PB!" 31
"113" 113 209161 "24:20" 1460 "VW35-39" 61.64 "F" 16 "PB stays at 00:20:21" 175
"114" 114 180029 "24:21" 1461 "VM50-54" 60.57 "M" 98 "PB stays at 00:21:27" 116
"115" 115 3269031 "24:22" 1462 "SW20-24" 60.74 "F" 17 "New PB!" 2
"116" 116 391911 "24:23" 1463 "VM40-44" 56.8 "M" 99 "First Timer!" 51
"117" 117 1011938 "24:27" 1467 "SM25-29" 52.76 "M" 100 "New PB!" 32
"118" 118 209159 "24:27" 1467 "VM45-49" 58.01 "M" 101 "PB stays at 00:19:45" 249
"119" 119 1615294 "24:28" 1468 "SM20-24" 52.72 "M" 102 "New PB!" 27
"120" 120 131159 "24:29" 1469 "VM45-49" 59.29 "M" 103 "PB stays at 00:23:30" 229
"121" 121 1211466 "24:30" 1470 "JM15-17" 56.8 "M" 104 "PB stays at 00:19:07" 63
"122" 122 3825289 "24:33" 1473 "SW20-24" 60.29 "F" 18 "New PB!" 6
"123" 123 286163 "24:35" 1475 "VM60-64" 66.98 "M" 105 "PB stays at 00:22:37" 76
"124" 124 1815153 "24:35" 1475 "VM35-39" 54.31 "M" 106 "PB stays at 00:21:26" 82
"125" 125 3874383 "24:38" 1478 "VM35-39" 55.01 "M" 107 "PB stays at 00:23:35" 11
"126" 126 1757076 "24:39" 1479 "SM30-34" 52.74 "M" 108 "PB stays at 00:22:51" 60
"127" 127 311997 "24:39" 1479 "VW50-54" 69.71 "F" 19 "PB stays at 00:22:47" 267
"128" 128 3884410 "24:41" 1481 "SM20-24" 52.26 "M" 109 "New PB!" 19
"129" 129 714388 "24:42" 1482 "SM20-24" 52.23 "M" 110 "PB stays at 00:21:26" 36
"130" 130 1344727 "24:43" 1483 "SW25-29" 59.88 "F" 20 "New PB!" 17
"131" 131 251386 "24:44" 1484 "VM40-44" 56 "M" 111 "PB stays at 00:22:51" 76
"132" 132 49981 "24:45" 1485 "SW20-24" 59.8 "F" 21 "PB stays at 00:23:43" 283
"133" 133 48764 "24:45" 1485 "VW65-69" 83.16 "F" 22 "PB stays at 00:22:26" 32
"134" 134 1751384 "24:51" 1491 "VW45-49" 65.86 "F" 23 "PB stays at 00:22:50" 142
"135" 135 2935651 "24:52" 1492 "SW20-24" 59.52 "F" 24 "PB stays at 00:23:05" 43
"136" 136 2087303 "24:56" 1496 "SW20-24" 59.36 "F" 25 "PB stays at 00:21:39" 73
"137" 137 173917 "25:00" 1500 "VM50-54" 59 "M" 112 "PB stays at 00:20:48" 251
"138" 138 682961 "25:02" 1502 "VM60-64" 65.78 "M" 113 "PB stays at 00:23:43" 198
"139" 139 90649 "25:03" 1503 "VM55-59" 62.94 "M" 114 "PB stays at 00:21:52" 141
"140" 140 2895387 "25:07" 1507 "SW18-19" 59.12 "F" 26 "New PB!" 8
"141" 141 1279004 "25:08" 1508 "VM60-64" 64.92 "M" 115 "PB stays at 00:22:53" 108
"142" 142 3854791 "25:09" 1509 "JW11-14" 64.74 "F" 27 "PB stays at 00:24:55" 9
"143" 143 1339563 "25:11" 1511 "VM50-54" 59.5 "M" 116 "PB stays at 00:24:16" 51
"144" 144 2314893 "25:13" 1513 "VW45-49" 64.9 "F" 28 "New PB!" 32
"145" 145 3095008 "25:15" 1515 "SM20-24" 51.09 "M" 117 "PB stays at 00:24:05" 24
"146" 146 3983489 "25:19" 1519 "SM18-19" 52.67 "M" 118 "First Timer!" 36
"147" 147 735781 "25:23" 1523 "VM50-54" 59.03 "M" 119 "PB stays at 00:23:09" 136
"148" 148 4001473 "25:24" 1524 "SM20-24" 50.79 "M" 120 "First Timer!" 1
"149" 149 NA NA NA NA NA NA NA NA NA
"150" 150 379810 "25:29" 1529 "VM50-54" 59.78 "M" 122 "PB stays at 00:22:09" 241
"151" 151 44825 "25:32" 1532 "VM65-69" 68.28 "M" 123 "PB stays at 00:20:30" 228
"152" 152 2628770 "25:32" 1532 "VM65-69" 67.56 "M" 124 "PB stays at 00:23:58" 106
"153" 153 2614407 "25:38" 1538 "SM20-24" 50.85 "M" 125 "PB stays at 00:19:05" 54
"154" 154 3796836 "25:41" 1541 "VM35-39" 51.98 "M" 126 "PB stays at 00:24:38" 5
"155" 155 2484877 "25:43" 1543 "SW18-19" 58.2 "F" 29 "PB stays at 00:22:44" 62
"156" 156 357405 "25:43" 1543 "VM35-39" 51.59 "M" 127 "First Timer!" 152
"157" 157 3704445 "25:45" 1545 "JM15-17" 53.2 "M" 128 "PB stays at 00:21:24" 21
"158" 158 1343144 "25:45" 1545 "VM40-44" 54.63 "M" 129 "First Timer!" 71
"159" 159 820282 "25:46" 1546 "VW50-54" 65.85 "F" 30 "PB stays at 00:25:00" 147
"160" 160 635167 "25:47" 1547 "VW40-44" 60.12 "F" 31 "PB stays at 00:24:56" 19
"161" 161 1545452 "25:48" 1548 "VM35-39" 52.52 "M" 130 "First Timer!" 76
"162" 162 2853730 "25:50" 1550 "SW20-24" 57.29 "F" 32 "PB stays at 00:24:00" 24
"163" 163 1039355 "25:51" 1551 "JM10" 61.06 "M" 131 "PB stays at 00:21:32" 18
"164" 164 85261 "25:53" 1553 "VW50-54" 65.55 "F" 33 "PB stays at 00:23:08" 240
"165" 165 3837454 "25:54" 1554 "VM35-39" 51.22 "M" 132 "First Timer!" 2
"166" 166 1029360 "25:58" 1558 "SM25-29" 49.68 "M" 133 "New PB!" 96
"167" 167 2454622 "25:59" 1559 "VM55-59" 59.14 "M" 134 "PB stays at 00:24:35" 49
"168" 168 891564 "25:59" 1559 "VM40-44" 54.14 "M" 135 "PB stays at 00:22:22" 65
"169" 169 512855 "26:01" 1561 "SW30-34" 57.27 "F" 34 "PB stays at 00:22:29" 108
"170" 170 762544 "26:02" 1562 "VM40-44" 52.43 "M" 136 "PB stays at 00:20:55" 63
"171" 171 292195 "26:04" 1564 "VM60-64" 63.75 "M" 137 "PB stays at 00:23:50" 121
"172" 172 290714 "26:06" 1566 "VM55-59" 60.41 "M" 138 "PB stays at 00:24:30" 226
"173" 173 786084 "26:06" 1566 "SW20-24" 56.7 "F" 35 "First Timer!" 86
"174" 174 2468913 "26:07" 1567 "VM50-54" 58.33 "M" 139 "PB stays at 00:22:50" 103
"175" 175 1348588 "26:07" 1567 "JM10" 60.43 "M" 140 "PB stays at 00:23:00" 102
"176" 176 57617 "26:08" 1568 "VW45-49" 61.99 "F" 36 "PB stays at 00:23:25" 188
"177" 177 404054 "26:08" 1568 "VM40-44" 52.61 "M" 141 "PB stays at 00:23:02" 122
"178" 178 3503910 "26:12" 1572 "SW18-19" 56.68 "F" 37 "PB stays at 00:26:06" 6
"179" 179 3639554 "26:17" 1577 "SW20-24" 56.31 "F" 38 "First Timer!" 2
"180" 180 3868158 "26:18" 1578 "JW15-17" 57.48 "F" 39 "First Timer!" 1
"181" 181 3220554 "26:20" 1580 "SM20-24" 49.49 "M" 142 "New PB!" 27
"182" 182 NA NA NA NA NA NA NA NA NA
"183" 183 199380 "26:23" 1583 "VM50-54" 57.74 "M" 144 "PB stays at 00:21:45" 235
"184" 184 3996644 "26:27" 1587 "SM25-29" 48.77 "M" 145 "First Timer!" 18
"185" 185 69503 "26:28" 1588 "VM70-74" 67.44 "M" 146 "PB stays at 00:24:30" 292
"186" 186 3678496 "26:28" 1588 "SW30-34" 56.3 "F" 40 "PB stays at 00:25:40" 19
"187" 187 1026482 "26:31" 1591 "VM40-44" 51.48 "M" 147 "PB stays at 00:22:19" 185
"188" 188 454390 "26:33" 1593 "VM50-54" 55.56 "M" 148 "New PB!" 155
"189" 189 NA NA NA NA NA NA NA NA NA
"190" 190 3920791 "26:41" 1601 "SW18-19" 55.65 "F" 41 "PB stays at 00:23:49" 39
"191" 191 NA NA NA NA NA NA NA NA NA
"192" 192 234794 "26:46" 1606 "JW15-17" 57.91 "F" 42 "PB stays at 00:22:40" 58
"193" 193 191464 "26:47" 1607 "SW30-34" 55.51 "F" 43 "PB stays at 00:22:13" 94
"194" 194 3924963 "26:48" 1608 "SW20-24" 55.22 "F" 44 "First Timer!" 20
"195" 195 2886187 "26:50" 1610 "SW18-19" 55.34 "F" 45 "First Timer!" 10
"196" 196 98708 "26:52" 1612 "VM70-74" 66.44 "M" 151 "PB stays at 00:22:22" 204
"197" 197 2981074 "26:55" 1615 "SW25-29" 54.98 "F" 46 "PB stays at 00:24:43" 40
"198" 198 NA NA NA NA NA NA NA NA NA
"199" 199 NA NA NA NA NA NA NA NA NA
"200" 200 208167 "27:10" 1630 "VM65-69" 63.5 "M" 154 "PB stays at 00:24:13" 165
"201" 201 1250767 "27:11" 1631 "VW50-54" 63.21 "F" 47 "PB stays at 00:25:00" 103
"202" 202 221749 "27:13" 1633 "VW50-54" 61.6 "F" 48 "PB stays at 00:21:41" 225
"203" 203 1950323 "27:15" 1635 "SW20-24" 54.31 "F" 49 "New PB!" 7
"204" 204 NA NA NA NA NA NA NA NA NA
"205" 205 1952196 "27:19" 1639 "VM50-54" 54.85 "M" 156 "PB stays at 00:25:53" 77
"206" 206 1751407 "27:19" 1639 "VM45-49" 52.72 "M" 157 "PB stays at 00:22:14" 147
"207" 207 1012212 "27:22" 1642 "JW11-14" 59.5 "F" 50 "PB stays at 00:24:14" 124
"208" 208 3428706 "27:23" 1643 "VM50-54" 55.63 "M" 158 "PB stays at 00:24:48" 11
"209" 209 185035 "27:23" 1643 "VW45-49" 59.77 "F" 51 "PB stays at 00:24:18" 102
"210" 210 3292910 "27:25" 1645 "VM55-59" 57.51 "M" 159 "PB stays at 00:26:07" 10
"211" 211 3397792 "27:27" 1647 "SW20-24" 53.92 "F" 52 "New PB!" 6
"212" 212 1736274 "27:29" 1649 "SW30-34" 54.09 "F" 53 "PB stays at 00:26:21" 66
"213" 213 1600514 "27:31" 1651 "VW65-69" 74.8 "F" 54 "PB stays at 00:24:28" 147
"214" 214 2294935 "27:32" 1652 "VM55-59" 55.81 "M" 160 "First Timer!" 62
"215" 215 3786922 "27:32" 1652 "SM20-24" 47.03 "M" 161 "First Timer!" 9
"216" 216 1590733 "27:34" 1654 "VM40-44" 51.03 "M" 162 "PB stays at 00:25:08" 25
"217" 217 1421628 "27:34" 1654 "SW25-29" 53.69 "F" 55 "First Timer!" 87
"218" 218 NA NA NA NA NA NA NA NA NA
"219" 219 1976014 "27:35" 1655 "SW20-24" 53.66 "F" 56 "PB stays at 00:26:37" 31
"220" 220 NA NA NA NA NA NA NA NA NA
"221" 221 1390543 "27:38" 1658 "VM65-69" 61.82 "M" 165 "PB stays at 00:26:34" 141
"222" 222 2284835 "27:38" 1658 "VM40-44" 49.76 "M" 166 "First Timer!" 26
"223" 223 NA NA NA NA NA NA NA NA NA
"224" 224 2696422 "27:41" 1661 "SW20-24" 53.46 "F" 57 "PB stays at 00:23:47" 24
"225" 225 NA NA NA NA NA NA NA NA NA
"226" 226 1179106 "27:42" 1662 "SW20-24" 53.43 "F" 58 "PB stays at 00:24:38" 6
"227" 227 3987148 "27:42" 1662 "VM35-39" 48.19 "M" 169 "First Timer!" 1
"228" 228 3423307 "27:47" 1667 "VM50-54" 53.09 "M" 170 "New PB!" 58
"229" 229 3423400 "27:47" 1667 "VW40-44" 55.79 "F" 59 "New PB!" 56
"230" 230 1278483 "27:48" 1668 "VM70-74" 63.43 "M" 171 "PB stays at 00:26:29" 136
"231" 231 921397 "27:48" 1668 "SW25-29" 53.24 "F" 60 "PB stays at 00:25:49" 28
"232" 232 322523 "27:48" 1668 "VM65-69" 62.05 "M" 172 "PB stays at 00:22:42" 240
"233" 233 2840347 "27:48" 1668 "VM50-54" 54.8 "M" 173 "New PB!" 64
"234" 234 1670908 "27:53" 1673 "VM50-54" 52.9 "M" 174 "PB stays at 00:23:54" 71
"235" 235 94393 "27:55" 1675 "VW45-49" 57.43 "F" 61 "First Timer!" 88
"236" 236 1197877 "27:56" 1676 "VW40-44" 54.77 "F" 62 "New PB!" 93
"237" 237 203083 "27:57" 1677 "VW55-59" 65.65 "F" 63 "PB stays at 00:25:48" 256
"238" 238 NA NA NA NA NA NA NA NA NA
"239" 239 1184614 "27:59" 1679 "VM45-49" 51.04 "M" 176 "First Timer!" 39
"240" 240 3795838 "28:01" 1681 "JM15-17" 48.19 "M" 177 "New PB!" 32
"241" 241 473931 "28:03" 1683 "SM30-34" 46.23 "M" 178 "First Timer!" 20
"242" 242 1315085 "28:03" 1683 "VM55-59" 55.26 "M" 179 "PB stays at 00:24:33" 116
"243" 243 171518 "28:05" 1685 "SM25-29" 45.93 "M" 180 "First Timer!" 67
"244" 244 201111 "28:07" 1687 "VM50-54" 53.29 "M" 181 "PB stays at 00:25:19" 117
"245" 245 3455510 "28:09" 1689 "SM30-34" 46.6 "M" 182 "PB stays at 00:26:17" 12
"246" 246 3400519 "28:12" 1692 "SM25-29" 45.74 "M" 183 "First Timer!" 1
"247" 247 2309591 "28:14" 1694 "VW55-59" 63.28 "F" 64 "First Timer!" 75
"248" 248 2826841 "28:15" 1695 "VM45-49" 50.56 "M" 184 "PB stays at 00:27:34" 20
"249" 249 451505 "28:17" 1697 "VM55-59" 56.22 "M" 185 "PB stays at 00:24:19" 110
"250" 250 1954565 "28:21" 1701 "VW45-49" 56.55 "F" 65 "First Timer!" 105
"251" 251 1954571 "28:23" 1703 "VM45-49" 50.73 "M" 186 "First Timer!" 84
"252" 252 503343 "28:24" 1704 "SM25-29" 45.42 "M" 187 "First Timer!" 3
"253" 253 779015 "28:30" 1710 "SM30-34" 46.02 "M" 188 "PB stays at 00:24:42" 21
"254" 254 245903 "28:33" 1713 "VW35-39" 52.71 "F" 66 "PB stays at 00:24:55" 103
"255" 255 2467164 "28:33" 1713 "SW18-19" 52.01 "F" 67 "First Timer!" 21
"256" 256 1327497 "28:35" 1715 "VW45-49" 57.96 "F" 68 "PB stays at 00:25:59" 162
"257" 257 3986577 "28:37" 1717 "SM30-34" 45.6 "M" 189 "First Timer!" 20
"258" 258 509802 "28:38" 1718 "SW30-34" 51.69 "F" 69 "PB stays at 00:26:14" 104
"259" 259 3297840 "28:40" 1720 "VM40-44" 49.07 "M" 190 "PB stays at 00:23:24" 45
"260" 260 735772 "28:41" 1721 "SM20-24" 45.44 "M" 191 "New PB!" 26
"261" 261 2437021 "28:43" 1723 "SW20-24" 51.54 "F" 70 "PB stays at 00:28:30" 14
"262" 262 3974975 "28:44" 1724 "SW18-19" 52.09 "F" 71 "First Timer!" 1
"263" 263 1249568 "28:46" 1726 "VW55-59" 62.11 "F" 72 "PB stays at 00:26:41" 98
"264" 264 971715 "28:49" 1729 "VM40-44" 48.47 "M" 192 "PB stays at 00:26:32" 128
"265" 265 3578719 "28:50" 1730 "VM60-64" 57.11 "M" 193 "First Timer!" 36
"266" 266 NA NA NA NA NA NA NA NA NA
"267" 267 1701279 "28:52" 1732 "SM25-29" 44.69 "M" 195 "PB stays at 00:23:51" 28
"268" 268 3527716 "28:52" 1732 "VM50-54" 51.91 "M" 196 "PB stays at 00:24:22" 52
"269" 269 4003676 "28:53" 1733 "SW20-24" 51.24 "F" 73 "First Timer!" 2
"270" 270 3383521 "28:54" 1734 "SM25-29" 44.64 "M" 197 "PB stays at 00:26:22" 31
"271" 271 400500 "28:56" 1736 "VW45-49" 56.57 "F" 74 "PB stays at 00:26:10" 146
"272" 272 175201 "28:57" 1737 "VM55-59" 54.92 "M" 198 "PB stays at 00:25:43" 320
"273" 273 1538110 "28:59" 1739 "JW11-14" 56.18 "F" 75 "New PB!" 29
"274" 274 1755685 "29:01" 1741 "SW20-24" 51.01 "F" 76 "PB stays at 00:26:18" 21
"275" 275 1131173 "29:01" 1741 "VM65-69" 57.78 "M" 199 "PB stays at 00:25:38" 138
"276" 276 723383 "29:02" 1742 "VM40-44" 47.36 "M" 200 "PB stays at 00:26:26" 113
"277" 277 2203918 "29:03" 1743 "JM11-14" 51.18 "M" 201 "PB stays at 00:28:46" 25
"278" 278 453687 "29:04" 1744 "VW40-44" 53.73 "F" 77 "PB stays at 00:26:47" 53
"279" 279 31833 "29:05" 1745 "VM60-64" 55.13 "M" 202 "PB stays at 00:22:55" 233
"280" 280 317420 "29:05" 1745 "SW30-34" 51.12 "F" 78 "New PB!" 146
"281" 281 3913413 "29:06" 1746 "SM20-24" 44.79 "M" 203 "New PB!" 2
