"date" "athletes" "maleAthletes" "femaleAthletes" "maleSpeedMean" "maleSpeedSD" "femaleSpeedMean" "femaleSpeedSD" "extraTime"
"157" "2017-08-05" 234 146 84 3.29412550013909 0.655610798661766 2.74485015284476 0.398186399624077 NA
"156" "2017-07-29" 259 143 109 3.23468204185229 0.634527375794709 2.71529472828105 0.50664998559499 NA
"155" "2017-07-22" 187 117 64 3.19278630184452 0.593096472716209 2.80532313156927 0.49107484004995 NA
"154" "2017-07-15" 212 123 82 3.25254942532015 0.55645826707017 2.82064148925011 0.491512997739618 NA
"153" "2017-07-08" 204 112 88 3.20508597116351 0.626334034293803 2.71472243706799 0.475870512563717 NA
"152" "2017-07-01" 212 120 85 3.2988542656236 0.609518741704771 2.76912455470172 0.545715841319053 NA
"151" "2017-06-24" 219 122 95 3.26130173350662 0.617225935879401 2.68058071402437 0.461330888072968 NA
"150" "2017-06-17" 216 114 92 3.24898288961613 0.58619867666748 2.69717665872382 0.444143513521344 NA
"149" "2017-06-10" 158 94 57 3.19245235222614 0.605926899207666 2.80201133244668 0.448833334120788 NA
"148" "2017-06-03" 238 136 96 3.3163005214946 0.555435414341755 2.87804716928314 0.455438087362579 NA
"147" "2017-05-27" 230 134 83 3.28486313768618 0.583836846654268 2.79597703884424 0.50782739138512 NA
"146" "2017-05-20" 224 119 99 3.33031841572399 0.63132814449842 2.82642452790649 0.41429070504964 NA
"145" "2017-05-13" 206 115 81 3.27040145713999 0.621885762977142 2.80345398401493 0.506479431412173 NA
"144" "2017-05-06" 219 116 98 3.21463642413937 0.625996700460921 2.78713696263313 0.473983357771848 NA
"143" "2017-04-29" 241 134 104 3.28136657941284 0.664970143897344 2.73104074318486 0.452664452615651 NA
"142" "2017-04-22" 179 109 67 3.29442890318601 0.568095375498582 2.74899196753271 0.431030871698423 NA
"141" "2017-04-15" 276 164 102 3.31817791061194 0.601750714867555 2.77600858835179 0.443560948524314 NA
"140" "2017-04-08" 239 127 111 3.27503942916174 0.601075817126187 2.72229317789806 0.479964979712897 NA
"139" "2017-04-01" 166 88 75 3.45268713659623 0.677526662848353 2.76973425055583 0.462484642306787 NA
"138" "2017-03-25" 206 116 86 3.37395818394548 0.624770210005334 2.7498983260234 0.479460099443787 NA
"137" "2017-03-18" 171 92 76 3.25521057415437 0.577617551317037 2.70370164698112 0.467780001862407 NA
"136" "2017-03-11" 183 110 70 3.28488358450369 0.597477230507143 2.74948407327408 0.479182341469152 NA
"135" "2017-03-04" 155 84 69 3.21705857046536 0.569018805842633 2.64575966048663 0.34242855622646 NA
"134" "2017-02-25" 162 92 69 3.155824143097 0.619978225740434 2.65209320361425 0.401628853607781 NA
"133" "2017-02-18" 181 110 70 3.35676326524787 0.615983567545381 2.74817764321304 0.473344322671128 NA
"132" "2017-02-11" 150 90 59 3.18305433030452 0.49539862658372 2.72625876551866 0.42142157823002 NA
"131" "2017-02-04" 212 137 73 3.25593664278151 0.57367716255518 2.75724162441493 0.44702859032724 NA
"130" "2017-01-28" 183 115 61 3.27751554347827 0.581448267634329 2.7101752631756 0.432698380724343 NA
"129" "2017-01-21" 188 110 78 3.20920305553386 0.601024518556337 2.71025785725169 0.40941598856159 NA
"128" "2017-01-14" 190 105 83 3.10470334361604 0.524280453013201 2.6889130545904 0.429310114524018 NA
"127" "2017-01-07" 187 111 74 3.22326295252403 0.592091606291767 2.64154361903275 0.408132903563121 NA
"126" "2017-01-01" 81 47 33 3.25865062003032 0.564720548455349 2.72980912875811 0.569789792485203 NA
"125" "2016-12-31" 206 114 86 3.23853864957894 0.521988392742262 2.66560106199621 0.45955646259491 NA
"124" "2016-12-25" 85 56 28 3.21579055298704 0.562977128240531 2.93771767742232 0.510818655942988 NA
"123" "2016-12-24" 230 118 106 3.33441973858545 0.659652568172632 2.83073876445563 0.531107558142889 NA
"122" "2016-12-17" 105 67 36 3.33200826902829 0.569773736829627 2.8857428787488 0.495158193539346 NA
"121" "2016-12-10" 117 78 39 3.27770682823064 0.602819611281346 2.63734290066131 0.488522724664659 NA
"120" "2016-12-03" 114 70 43 3.34187093643057 0.572362733302471 2.81654454418576 0.502262031004638 NA
"119" "2016-11-26" 135 79 52 3.21892686473467 0.443862758989899 2.80004506841257 0.422804247689784 NA
"118" "2016-11-19" 150 84 65 3.15368223076069 0.537609891597024 2.67427333775349 0.372280310927785 NA
"117" "2016-11-12" 149 84 61 3.33498914308773 0.543999310998516 2.8452335525634 0.425782858708008 NA
"116" "2016-11-05" 150 92 55 3.13407956324594 0.554717891573544 2.79581874140786 0.473667772505753 NA
"115" "2016-10-29" 205 122 83 3.15329966883486 0.613705932710291 2.79716117991023 0.556611203453951 NA
"114" "2016-10-22" 156 97 54 3.22282444673451 0.63104530431923 2.77004423103182 0.602964945834782 NA
"113" "2016-10-15" 238 103 53 3.12754052267802 0.610403346542618 2.79929830712002 0.508519383094222 NA
"112" "2016-10-08" 130 83 44 3.22943712133498 0.555270626513311 2.92320634005101 0.404797008856943 NA
"111" "2016-10-01" 130 76 52 3.23267310571575 0.535948014450924 2.81463437342993 0.324082701142896 NA
"110" "2016-09-24" 145 89 55 3.1306415190557 0.556708722363049 2.74952972634106 0.398975857926702 NA
"109" "2016-09-17" 161 95 63 3.25285784847475 0.60291418315353 2.88947258421544 0.438060509388938 NA
"108" "2016-09-10" 120 75 45 3.21116019118899 0.565843696209373 2.86949590808331 0.431661614626904 NA
"107" "2016-09-03" 152 92 58 3.26009277001669 0.576828382494992 2.78734361629465 0.396409470588288 NA
"106" "2016-08-27" 183 110 72 3.2711677241679 0.653745311736764 2.89178351942635 0.464579543190785 NA
"105" "2016-08-20" 149 101 46 3.18235150539643 0.586363618512347 2.81549331003756 0.473367432729443 NA
"104" "2016-08-13" 144 92 47 3.31285163620201 0.611594078122607 2.7427739494654 0.529863865367482 NA
"103" "2016-08-06" 205 128 76 3.23812366830861 0.623255678751092 2.89087649269666 0.476963823994515 NA
"102" "2016-07-30" 152 97 55 3.29130066045257 0.603551744061513 2.88949827411239 0.481749318997388 NA
"101" "2016-07-23" 147 93 54 3.26827916355119 0.590076546155928 2.97437153542162 0.337566252259077 NA
"100" "2016-07-16" 190 109 80 3.33717316389693 0.611044811523009 2.70377971321495 0.541700686162702 NA
"99" "2016-07-09" 127 79 48 3.16090806875591 0.72184495240955 2.62708081594391 0.56534129104117 NA
"98" "2016-07-02" 119 76 42 3.36321253365549 0.578620085474046 2.79748889083513 0.383281309083788 NA
"97" "2016-06-25" 169 101 64 3.30661673590226 0.632537194829528 2.84986653340813 0.395814773564225 NA
"96" "2016-06-18" 118 76 42 3.29147774372842 0.625329691168452 2.87760253028119 0.565262880371418 NA
"95" "2016-06-11" 107 71 36 3.40539966285271 0.541652287694996 2.83705237923243 0.366280087221773 NA
"94" "2016-06-04" 177 108 68 3.2111824106566 0.563426209218611 2.77692416124322 0.443290060943618 NA
"93" "2016-05-28" 148 96 50 3.28771705951029 0.636562906963775 2.79487580128653 0.474916212218391 NA
"92" "2016-05-21" 132 91 39 3.26059885010807 0.637295329691312 2.73792620586012 0.437450601793258 NA
"91" "2016-05-14" 184 110 70 3.37980519569817 0.647385580756502 2.88327229472514 0.449113920393959 NA
"90" "2016-05-07" 160 104 54 3.34500428301246 0.552826651487277 2.87406651957856 0.337189461716302 NA
"89" "2016-04-30" 146 92 54 3.27588401896433 0.61533925585552 2.81863075810931 0.557658765776834 NA
"88" "2016-04-23" 152 90 61 3.23503953046121 0.653206097559771 2.6663415352057 0.483601170344036 NA
"87" "2016-04-16" 101 65 36 3.17969878093644 0.57994364483911 2.78211810633696 0.351008881855433 NA
